Temp,rho
310.51502145922746, 1.2480106100795756
297.21030042918454, 1.2572944297082227
293.3476394849786, 1.2604774535809018
289.9141630901288, 1.2620689655172412
281.7596566523605, 1.2679045092838195
273.6051502145923, 1.273474801061008
269.7424892703863, 1.2766578249336868
265.6652360515021, 1.2785145888594163
258.79828326180257, 1.2846153846153845
247.21030042918454, 1.2920424403183024
243.9914163090129, 1.2960212201591512
228.54077253218884, 1.3047745358090186
220.60085836909872, 1.3119363395225463
210.08583690987126, 1.3222811671087533
204.50643776824035, 1.3241379310344827
201.07296137339057, 1.3249336870026525
197.42489270386267, 1.3278514588859416
190.343347639485, 1.3278514588859416
176.18025751072963, 1.329442970822281
169.9570815450644, 1.329973474801061